#SampleID 	Barcode Sequence	Linker primer Sequence	Species (Scientific Name)	Sample Type	Total Amount	Storage Buffer	Treatment	Control	Wash-out(Day)	Description
#q2:types	categorical	categorical	categorical	categorical	numeric	categorical	categorical	categorical	numeric	categorical
P129174h			Bos taurus coreaneae	Rumen Fluid	50	others	No	Yes	7	P129174h
P130004h			Bos taurus coreaneae	Rumen Fluid	50	others	No	Yes	7	P130004h
P132024h			Bos taurus coreaneae	Rumen Fluid	50	others	Yes	No	7	P132024h
P166384h			Bos taurus coreaneae	Rumen Fluid	50	others	Yes	No	7	P166384h
P175274h			Bos taurus coreaneae	Rumen Fluid	50	others	No	Yes	7	P175274h
P188154h			Bos taurus coreaneae	Rumen Fluid	50	others	Yes	No	7	P188154h
"P229174h	"			Bos taurus coreaneae	Rumen Fluid	50	others	Yes	No	7	P229174h
P230004h			Bos taurus coreaneae	Rumen Fluid	50	others	Yes	No	7	P230004h
P232024h			Bos taurus coreaneae	Rumen Fluid	50	others	No	Yes	7	P232024h
P266384h			Bos taurus coreaneae	Rumen Fluid	50	others	No	Yes	7	P266384h
P275274h			Bos taurus coreaneae	Rumen Fluid	50	others	Yes	No	7	P275274h
P288154h			Bos taurus coreaneae	Rumen Fluid	50	others	No	Yes	7	P288154h
